{'SiO2': 87, 'TiO2': 91, 'Al2O3': 71, 'FeO': 17, 'MnO': 18, 'MgO': 72, 'CaO': 69, 'Na2O': 1, 'K2O': 100, 'F': 97, 'Cl': 80, 'Bjergart': 'Dunit'}
{'SiO2': 6, 'TiO2': 89, 'Al2O3': 90, 'FeO': 17, 'MnO': 10, 'MgO': 12, 'CaO': 84, 'Na2O': 15, 'K2O': 85, 'F': 6, 'Cl': 96, 'Bjergart': 'Basalt'}
{'SiO2': 62, 'TiO2': 37, 'Al2O3': 80, 'FeO': 8, 'MnO': 58, 'MgO': 1, 'CaO': 79, 'Na2O': 85, 'K2O': 66, 'F': 82, 'Cl': 54, 'Bjergart': 'Dunit'}
{'SiO2': 74, 'TiO2': 10, 'Al2O3': 13, 'FeO': 45, 'MnO': 2, 'MgO': 97, 'CaO': 65, 'Na2O': 77, 'K2O': 56, 'F': 62, 'Cl': 62, 'Bjergart': 'Dunit'}
{'SiO2': 85, 'TiO2': 57, 'Al2O3': 62, 'FeO': 85, 'MnO': 68, 'MgO': 17, 'CaO': 65, 'Na2O': 59, 'K2O': 91, 'F': 46, 'Cl': 63, 'Bjergart': 'Gnejs'}
{'SiO2': 77, 'TiO2': 84, 'Al2O3': 55, 'FeO': 40, 'MnO': 34, 'MgO': 64, 'CaO': 60, 'Na2O': 75, 'K2O': 74, 'F': 3, 'Cl': 64, 'Bjergart': 'Granit'}
{'SiO2': 13, 'TiO2': 41, 'Al2O3': 91, 'FeO': 13, 'MnO': 78, 'MgO': 62, 'CaO': 32, 'Na2O': 51, 'K2O': 32, 'F': 70, 'Cl': 10, 'Bjergart': 'Amfibolit'}
{'SiO2': 18, 'TiO2': 79, 'Al2O3': 66, 'FeO': 16, 'MnO': 55, 'MgO': 78, 'CaO': 11, 'Na2O': 91, 'K2O': 84, 'F': 67, 'Cl': 19, 'Bjergart': 'Amfibolit'}
{'SiO2': 37, 'TiO2': 25, 'Al2O3': 48, 'FeO': 17, 'MnO': 53, 'MgO': 60, 'CaO': 36, 'Na2O': 97, 'K2O': 75, 'F': 30, 'Cl': 32, 'Bjergart': 'Granit'}
{'SiO2': 47, 'TiO2': 91, 'Al2O3': 90, 'FeO': 98, 'MnO': 70, 'MgO': 26, 'CaO': 96, 'Na2O': 74, 'K2O': 23, 'F': 7, 'Cl': 14, 'Bjergart': 'Dunit'}
{'SiO2': 32, 'TiO2': 45, 'Al2O3': 84, 'FeO': 27, 'MnO': 68, 'MgO': 99, 'CaO': 8, 'Na2O': 19, 'K2O': 22, 'F': 25, 'Cl': 13, 'Bjergart': 'Harzburgite'}
{'SiO2': 19, 'TiO2': 46, 'Al2O3': 53, 'FeO': 82, 'MnO': 2, 'MgO': 58, 'CaO': 37, 'Na2O': 0, 'K2O': 72, 'F': 93, 'Cl': 92, 'Bjergart': 'Dunit'}
